series_id,obs_date,value
portwatch.hormuz.n_tanker,2021-09-10,50.0
portwatch.hormuz.n_tanker,2021-09-11,43.0
portwatch.hormuz.n_tanker,2021-09-12,46.0
portwatch.hormuz.n_tanker,2021-09-13,53.0
portwatch.hormuz.n_tanker,2021-09-14,56.0
portwatch.hormuz.n_tanker,2021-09-15,56.0
portwatch.hormuz.n_tanker,2021-09-16,65.0
portwatch.hormuz.n_tanker,2021-09-17,53.0
portwatch.hormuz.n_tanker,2021-09-18,60.0
portwatch.hormuz.n_tanker,2021-09-19,53.0
portwatch.hormuz.n_tanker,2021-09-20,58.0
portwatch.hormuz.n_tanker,2021-09-21,45.0
portwatch.hormuz.n_tanker,2021-09-22,47.0
portwatch.hormuz.n_tanker,2021-09-23,52.0
portwatch.hormuz.n_tanker,2021-09-24,59.0
portwatch.hormuz.n_tanker,2021-09-25,69.0
portwatch.hormuz.n_tanker,2021-09-26,59.0
portwatch.hormuz.n_tanker,2021-09-27,43.0
portwatch.hormuz.n_tanker,2021-09-28,50.0
portwatch.hormuz.n_tanker,2021-09-29,58.0
portwatch.hormuz.n_tanker,2021-09-30,57.0
portwatch.hormuz.n_tanker,2021-10-01,53.0
portwatch.hormuz.n_tanker,2021-10-02,58.0
portwatch.hormuz.n_tanker,2021-10-03,43.0
portwatch.hormuz.n_tanker,2021-10-04,46.0
portwatch.hormuz.n_tanker,2021-10-05,51.0
portwatch.hormuz.n_tanker,2021-10-06,58.0
portwatch.hormuz.n_tanker,2021-10-07,52.0
portwatch.hormuz.n_tanker,2021-10-08,76.0
portwatch.hormuz.n_tanker,2021-10-09,64.0
portwatch.hormuz.n_tanker,2021-10-10,54.0
portwatch.hormuz.n_tanker,2021-10-11,25.0
portwatch.hormuz.n_tanker,2021-10-12,46.0
portwatch.hormuz.n_tanker,2021-10-13,43.0
portwatch.hormuz.n_tanker,2021-10-14,62.0
portwatch.hormuz.n_tanker,2021-10-15,71.0
portwatch.hormuz.n_tanker,2021-10-16,58.0
portwatch.hormuz.n_tanker,2021-10-17,41.0
portwatch.hormuz.n_tanker,2021-10-18,63.0
portwatch.hormuz.n_tanker,2021-10-19,43.0
portwatch.hormuz.n_tanker,2021-10-20,51.0
portwatch.hormuz.n_tanker,2021-10-21,51.0
portwatch.hormuz.n_tanker,2021-10-22,45.0
portwatch.hormuz.n_tanker,2021-10-23,42.0
portwatch.hormuz.n_tanker,2021-10-24,53.0
portwatch.hormuz.n_tanker,2021-10-25,45.0
portwatch.hormuz.n_tanker,2021-10-26,40.0
portwatch.hormuz.n_tanker,2021-10-27,42.0
portwatch.hormuz.n_tanker,2021-10-28,38.0
portwatch.hormuz.n_tanker,2021-10-29,36.0
portwatch.hormuz.n_tanker,2021-10-30,54.0
portwatch.hormuz.n_tanker,2021-10-31,53.0
portwatch.hormuz.n_tanker,2021-11-01,69.0
portwatch.hormuz.n_tanker,2021-11-02,45.0
portwatch.hormuz.n_tanker,2021-11-03,54.0
portwatch.hormuz.n_tanker,2021-11-04,48.0
portwatch.hormuz.n_tanker,2021-11-05,54.0
portwatch.hormuz.n_tanker,2021-11-06,34.0
portwatch.hormuz.n_tanker,2021-11-07,24.0
