source,source_id,event_date,inside_big_move,episode_id,monthly_move_pct,wti_chg_3m_pct
Dyadic MID 4.03,disno 3438,1974-06-08,False,,,0.0
ICB v16,crisno 257,1974-07-15,False,,,10.39
COW War v4.0 inter-state,WarNum 184,1974-07-20,False,,,10.39
Dyadic MID 4.03,disno 2713,1974-12-01,False,,,0.0
COW War v4.1 intra-state,WarNum 798,1975-01-28,False,,,0.0
COW War v4.1 intra-state,WarNum 800,1975-02-01,False,,,0.0
Dyadic MID 4.03,disno 1613,1975-03-07,False,,,0.0
COW War v4.1 intra-state,WarNum 801,1975-04-13,False,,,0.0
ICB v16,crisno 259,1975-05-12,False,,,0.0
ICB v16,crisno 260,1975-07-12,False,,,0.0
Dyadic MID 4.03,disno 3175,1975-08-04,False,,,0.0
ICB v16,crisno 261,1975-10-16,False,,,0.0
Dyadic MID 4.03,disno 358,1975-10-20,False,,,0.0
COW War v4.0 inter-state,WarNum 186,1975-10-23,False,,,0.0
ICB v16,crisno 262,1975-11-01,False,,,7.8
Dyadic MID 4.03,disno 1441,1975-11-11,False,,,7.8
ICB v16,crisno 263,1975-11-23,False,,,7.8
Dyadic MID 4.03,disno 3439,1975-11-26,False,,,7.8
ICB v16,crisno 264,1975-11-28,False,,,7.8
COW War v4.1 intra-state,WarNum 802,1976-01-01,False,,,9.05
ICB v16,crisno 265,1976-01-18,False,,,9.05
Dyadic MID 4.03,disno 363,1976-02-04,False,,,1.16
COW War v4.1 intra-state,WarNum 804,1976-02-13,False,,,1.16
Dyadic MID 4.03,disno 3179,1976-04-05,False,,,0.0
Dyadic MID 4.03,disno 2961,1976-04-12,False,,,0.0
ICB v16,crisno 269,1976-06-09,False,,,14.22
ICB v16,crisno 270,1976-06-27,False,,,14.22
COW War v4.1 intra-state,WarNum 805,1976-07-01,False,,,14.22
COW War v4.1 intra-state,WarNum 806,1976-07-18,False,,,14.22
Dyadic MID 4.03,disno 2956,1976-08-01,False,,,14.22
ICB v16,crisno 272,1976-08-06,False,,,14.22
ICB v16,crisno 274,1976-08-17,False,,,14.22
Dyadic MID 4.03,disno 2335,1976-08-28,False,,,14.22
Dyadic MID 4.03,disno 365,1976-09-06,False,,,0.0
ICB v16,crisno 275,1976-11-21,False,,,0.0
Dyadic MID 4.03,disno 2150,1977-03-08,False,,,0.0
ICB v16,crisno 277,1977-03-08,False,,,0.0
Dyadic MID 4.03,disno 2222,1977-04-09,False,,,0.0
Dyadic MID 4.03,disno 2120,1977-06-21,False,,,6.83
ICB v16,crisno 279,1977-06-25,False,,,6.83
Dyadic MID 4.03,disno 2714,1977-07-04,False,,,6.83
Dyadic MID 4.03,disno 3126,1977-07-12,False,,,6.83
ICB v16,crisno 281,1977-07-14,False,,,6.83
ICB v16,crisno 282,1977-07-22,False,,,6.83
COW War v4.0 inter-state,WarNum 187,1977-07-23,False,,,6.83
Dyadic MID 4.03,disno 3994,1977-09-20,False,,,0.0
Dyadic MID 4.03,disno 3122,1977-09-21,False,,,0.0
ICB v16,crisno 285,1977-10-25,False,,,0.0
Dyadic MID 4.03,disno 2963,1977-11-12,False,,,0.0
ICB v16,crisno 287,1977-12-05,False,,,0.0
ICB v16,crisno 288,1978-01-22,False,,,0.0
COW War v4.1 intra-state,WarNum 807,1978-02-01,False,,,0.0
COW War v4.1 intra-state,WarNum 808,1978-03-10,False,,,0.0
Dyadic MID 4.03,disno 2715,1978-03-11,False,,,0.0
ICB v16,crisno 289,1978-03-14,False,,,0.0
Dyadic MID 4.03,disno 3631,1978-04-15,False,,,0.0
ICB v16,crisno 290,1978-04-15,False,,,0.0
Dyadic MID 4.03,disno 3007,1978-04-18,False,,,0.0
COW War v4.1 intra-state,WarNum 811,1978-05-01,False,,,0.0
ICB v16,crisno 291,1978-05-03,False,,,0.0
ICB v16,crisno 292,1978-05-11,False,,,0.0
Dyadic MID 4.03,disno 2602,1978-06-21,False,,,0.0
